zip,median_income,housing_units,owner_pct,population,city,lat,lon,solrad_annual,solrad_source,install_count,median_system_kw,median_cost_per_watt,pct_third_party,latest_install_year,adoption_rate,electricity_rate,nem_type,nem_export_pct
91352,68132,12930,0.5002320185614849,45601,Sun Valley,34.2209,-118.3699,6.221361791748374,ridge_interpolated,492,4.93,5.0,0.5853658536585366,2019.0,38.051,0.3029,NEM3,0.2
91354,145442,11045,0.7756450882752377,33039,Valencia,34.4466,-118.5374,6.384632144832472,nrel_actual,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91355,109752,12429,0.6175878992678413,30289,Valencia,34.3985,-118.5535,6.204929126868822,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91356,105513,12534,0.5458752194032233,30599,Tarzana,34.1671,-118.5414,6.185254613288335,ridge_interpolated,356,8.64,4.755943886219116,0.4550561797752809,2019.0,28.4027,0.3029,NEM3,0.2
91360,111095,15624,0.6535458269329237,42444,Thousand Oaks,34.2092,-118.8739,6.128990728874602,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91361,127304,8279,0.651769537383742,18753,Westlake Village,34.1472,-118.8383,6.1292112234755,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91362,135998,14408,0.6749722376457523,36770,Thousand Oaks,34.1948,-118.8232,6.136803072083194,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91364,128306,11094,0.6215071209662881,28765,Woodland Hills,34.1557,-118.6,6.173504339750525,ridge_interpolated,553,7.194,4.824561403508772,0.4141048824593128,2019.0,49.8468,0.3029,NEM3,0.2
91367,106355,19940,0.447592778335005,44862,Woodland Hills,34.1767,-118.6159,6.172710453146741,ridge_interpolated,678,7.59,4.9,0.4631268436578171,2019.0,34.002,0.3029,NEM3,0.2
91377,150898,5231,0.683808067291149,13627,Oak Park,34.185,-118.7669,6.146087509798028,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91381,148873,6926,0.6159399364712677,20864,Stevenson Ranch,34.3775,-118.6131,6.192351336672512,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91384,127416,7251,0.8318852572059027,27652,Castaic,34.4827,-118.6254,6.1995573607706005,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91387,111090,14792,0.6092482422931315,46812,Canyon Country,34.4132,-118.426,6.228970872885394,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91390,145465,6647,0.8142018955919964,18930,Santa Clarita,34.4684,-118.5261,6.21600339294979,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91401,72476,15702,0.323079862437906,39179,Van Nuys,34.1802,-118.4324,6.206215709064856,ridge_interpolated,406,5.960000000000001,4.975,0.5098522167487685,2019.0,25.8566,0.3029,NEM3,0.2
91402,55130,20571,0.3497156190753974,67937,Panorama City,34.2262,-118.447,6.208026519346222,ridge_interpolated,368,4.765,4.975,0.5706521739130435,2019.0,17.8893,0.3029,NEM3,0.2
91403,107970,12988,0.384970742223591,25887,Sherman Oaks,34.1514,-118.4603,6.1983626861947,ridge_interpolated,241,6.5,4.9,0.44813278008298757,2019.0,18.5556,0.3029,NEM3,0.2
91405,58365,19425,0.25446589446589446,55451,Van Nuys,34.2001,-118.4456,6.2057688484294316,ridge_interpolated,305,4.8,5.1,0.5967213114754099,2019.0,15.7014,0.3029,NEM3,0.2
91406,71819,19534,0.3771372990682912,53276,Van Nuys,34.2006,-118.4868,6.198396227938736,ridge_interpolated,546,5.2,4.975,0.5622710622710623,2019.0,27.9513,0.3029,NEM3,0.2
91411,73669,9890,0.27654196157735084,23689,Van Nuys,34.1781,-118.4574,6.201506383157301,ridge_interpolated,136,5.619999999999999,4.8,0.4338235294117647,2019.0,13.7513,0.3029,NEM3,0.2
91423,104205,16329,0.34613264743707517,31787,Sherman Oaks,34.1526,-118.4322,6.2035517923438634,ridge_interpolated,286,6.52,4.7691935015290525,0.3986013986013986,2019.0,17.5149,0.3029,NEM3,0.2
91436,155346,6203,0.745445752055457,16190,Encino,34.151,-118.4882,6.193283001092667,ridge_interpolated,286,8.5425,4.623567567567568,0.36713286713286714,2019.0,46.1067,0.3029,NEM3,0.2
91501,80198,8303,0.3522823075996628,18951,Burbank,34.1862,-118.3009,6.230416572783059,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91502,59711,6009,0.08936595107338992,12312,Burbank,34.1745,-118.3059,6.228396721139052,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91504,99318,10804,0.5219363198815253,27479,Burbank,34.2001,-118.3264,6.2271767170040375,ridge_interpolated,10,5.562,4.9875,0.4,2017.0,0.9256,0.3029,NEM3,0.2
91505,104361,14220,0.41983122362869196,32156,Burbank,34.169,-118.3442,6.220991876505113,ridge_interpolated,2,5.835,6.692848020434227,0.0,2017.0,0.1406,0.3029,NEM3,0.2
91506,104009,8689,0.5406836229715732,19559,Burbank,34.1717,-118.3231,6.225041286598308,ridge_interpolated,0,5.232,4.975,0.0,,0.0,0.3029,NEM3,0.2
91601,73735,19735,0.1519635165948822,35615,North Hollywood,34.1687,-118.3713,6.2160925695769516,ridge_interpolated,161,5.035,4.903846153846154,0.40372670807453415,2019.0,8.1581,0.3029,NEM3,0.2
91602,93210,10638,0.3052265463432976,19980,North Hollywood,34.151,-118.3663,6.215266813673071,ridge_interpolated,103,5.985,4.8,0.4174757281553398,2019.0,9.6823,0.3029,NEM3,0.2
